area_name,year,group_name,sub_group_name,police_injured_by_criminals,police_injured_by_riotous_mobs,police_injured_in_accidents,police_injured_in_dacoity_operationsother_raids,police_injured_in_terroristsextremists_operations,police_injured_on_border_duties,police_injured_total_policemen,police_killed_by_criminals,police_killed_by_riotous_mobs,police_killed_in_accidents,police_killed_in_dacoity_operationsother_raids,police_killed_in_terroristsextremists_operations,police_killed_on_border_duties,police_killed_total_policemen
Maharashtra,2006,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,7,30,14,0,4,0,55,0,0,8,0,0,0,8
Manipur,2006,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Meghalaya,2006,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mizoram,2006,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,2006,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,2006,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,0,3,0,0,0,0,3,0,0,1,0,0,0,1
Puducherry,2006,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,2006,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,1,3,0,0,0,0,4,1,0,5,0,0,1,7
Rajasthan,2006,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,3,7,4,0,0,0,14,0,0,3,0,0,0,3
Sikkim,2006,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,2006,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tripura,2006,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,2006,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uttarakhand,2006,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,0,0,0,0,0,0,0,0,0,0,0,0,0,0
